,p,s,n,c,perturbation,run,mse,shd,precision,recall
0,50,0.2,10000,2,0.1,0,8.405873290625335e-06,0.5,0.9979757085020242,1.0
1,50,0.2,10000,2,0.1,1,1.0285496419974301e-05,0.5,0.9979757085020242,1.0
2,50,0.2,10000,2,0.1,2,7.744788989598709e-06,0.5,0.9981481481481482,1.0
3,50,0.2,10000,2,0.1,3,8.962396894791362e-06,0.5,0.9979253112033195,1.0
4,50,0.2,10000,2,0.1,4,1.4037976317320886e-05,0.0,1.0,1.0
5,50,0.2,10000,2,0.1,5,7.1344705655076665e-06,0.0,1.0,1.0
6,50,0.2,10000,2,0.1,6,1.0223096765503308e-05,0.5,0.9980842911877394,1.0
7,50,0.2,10000,2,0.1,7,9.728775654510425e-06,1.0,0.9958677685950413,1.0
8,50,0.2,10000,2,0.1,8,6.939872844648239e-06,0.5,0.9979919678714859,1.0
9,50,0.2,10000,2,0.1,9,1.0508220028543425e-05,0.5,0.998062015503876,1.0
10,50,0.2,30000,2,0.1,0,4.986668969072788e-06,1.0,0.9963636363636363,1.0
11,50,0.2,30000,2,0.1,1,3.0436904713513353e-06,0.0,1.0,1.0
12,50,0.2,30000,2,0.1,2,3.547015959664538e-06,1.0,0.9957983193277311,1.0
13,50,0.2,30000,2,0.1,3,3.224832803100746e-06,0.0,1.0,1.0
14,50,0.2,30000,2,0.1,4,2.0770705561272607e-06,0.0,1.0,1.0
15,50,0.2,30000,2,0.1,5,2.7607871118288974e-06,0.0,1.0,1.0
16,50,0.2,30000,2,0.1,6,1.95375280480429e-06,0.0,1.0,1.0
17,50,0.2,30000,2,0.1,7,2.792749467286848e-06,0.0,1.0,1.0
18,50,0.2,30000,2,0.1,8,2.4833599389872986e-06,0.0,1.0,1.0
19,50,0.2,30000,2,0.1,9,2.988924356985245e-06,0.0,1.0,1.0
20,50,0.3,10000,2,0.1,0,1.8443092721465952e-05,0.0,1.0,1.0
21,50,0.3,10000,2,0.1,1,1.9689568568915603e-05,1.0,0.9972375690607735,1.0
22,50,0.3,10000,2,0.1,2,0.0003062258457282579,2.0,0.9985795454545454,0.9957264957264957
23,50,0.3,10000,2,0.1,3,0.0002360288890583841,1.0,1.0,0.9972527472527473
24,50,0.3,10000,2,0.1,4,0.0002441018706720038,1.5,0.9985207100591715,0.9970501474926254
25,50,0.3,10000,2,0.1,5,0.001057382524142328,5.5,0.9945090729428674,0.9904632152588556
26,50,0.3,10000,2,0.1,6,0.002600261185366682,6.0,0.9973333333333334,0.9869451697127938
27,50,0.3,10000,2,0.1,7,0.007271618434996928,23.5,0.9916549312121822,0.9456233421750664
28,50,0.3,10000,2,0.1,8,2.2604665975367988e-05,0.0,1.0,1.0
29,50,0.3,10000,2,0.1,9,0.002920876699260794,7.5,0.9972854511970534,0.982620320855615
30,50,0.3,30000,2,0.1,0,0.00033974349566237447,1.5,1.0,0.9961139896373057
31,50,0.3,30000,2,0.1,1,0.003724856124847097,8.0,1.0,0.9784366576819408
32,50,0.3,30000,2,0.1,2,0.0020314251741082798,5.5,1.0,0.9856396866840731
33,50,0.3,30000,2,0.1,3,6.609149063387535e-06,0.0,1.0,1.0
34,50,0.3,30000,2,0.1,4,5.7735941903342345e-06,0.5,0.998567335243553,1.0
35,50,0.3,30000,2,0.1,5,0.004022004819084704,11.5,1.0,0.9684931506849315
36,50,0.3,30000,2,0.1,6,0.00020436353473985645,1.0,0.9986595174262735,0.9986559139784946
37,50,0.3,30000,2,0.1,7,6.50038540323377e-06,0.5,0.9984567901234568,1.0
38,50,0.3,30000,2,0.1,8,0.0029965791348884933,7.5,0.9986910994764397,0.9816272965879265
39,50,0.3,30000,2,0.1,9,0.0007552378697660533,5.0,0.996010413734872,0.9907651715039578
40,100,0.2,10000,2,0.1,0,0.004462035398446018,51.5,0.9886843153833444,0.9616490891658677
41,100,0.2,10000,2,0.1,1,0.0018328591268399787,26.5,0.9901331247434761,0.9836795252225519
42,100,0.2,10000,2,0.1,2,0.03209988096045002,282.0,0.9939889291740979,0.7287390029325513
43,100,0.2,10000,2,0.1,3,0.007185581718739312,81.0,0.9888412684814025,0.9296407185628743
44,100,0.2,10000,2,0.1,4,0.0036231409414302766,45.0,0.9913140544695,0.9637176938369781
45,100,0.2,10000,2,0.1,5,0.006168601788885677,65.5,0.9949017400442564,0.9348986125933831
46,100,0.2,10000,2,0.1,6,0.007229280367782077,78.5,0.9894936259725777,0.9272918861959958
47,100,0.2,10000,2,0.1,7,0.011100029100419717,121.5,0.991807847702527,0.880977130977131
48,100,0.2,10000,2,0.1,8,0.013526725026739338,132.0,0.9930113596420493,0.8703703703703705
49,100,0.2,10000,2,0.1,9,0.007174040292946989,78.0,0.989684634620728,0.9332023575638507
50,100,0.2,30000,2,0.1,0,0.007293751337188769,71.5,0.9954204059908038,0.9301242236024845
51,100,0.2,30000,2,0.1,1,0.00860144681936554,81.0,0.9969181394530906,0.9243452958292919
52,100,0.2,30000,2,0.1,2,0.0017270616521863334,24.0,0.9947937068204808,0.9805725971370143
53,100,0.2,30000,2,0.1,3,0.015956130269099346,152.0,0.9988826815642458,0.8512315270935961
54,100,0.2,30000,2,0.1,4,0.0025061036698580943,29.5,0.9968039376762158,0.9724245577523414
55,100,0.2,30000,2,0.1,5,0.0065525019876476395,71.0,0.9949777301088683,0.9310165975103735
56,100,0.2,30000,2,0.1,6,0.00818227290354719,78.0,0.9989506820566632,0.9236868186323093
57,100,0.2,30000,2,0.1,7,0.0005506828272345753,9.5,0.9984347822300979,0.9917098445595856
58,100,0.2,30000,2,0.1,8,0.010317961460907549,99.5,0.9971757717049182,0.9010204081632653
59,100,0.2,30000,2,0.1,9,0.006193326526293727,67.5,0.9977807318784387,0.9321243523316063
60,100,0.3,10000,2,0.1,0,0.061999042771776536,559.0,0.9960826544308143,0.6161022805805114
61,100,0.3,10000,2,0.1,1,0.06771130055432438,608.0,0.9942091728628115,0.6022427440633245
62,100,0.3,10000,2,0.1,2,0.06252913668574046,578.0,0.992855997791832,0.6141891891891892
63,100,0.3,10000,2,0.1,3,0.044081190618444246,398.5,0.9986175115207373,0.7225716282320056
64,100,0.3,10000,2,0.1,4,0.06203326254367033,551.0,0.9979877379454365,0.6376237623762376
65,100,0.3,10000,2,0.1,5,0.05701821489600764,495.5,0.9953755975055134,0.6636986301369863
66,100,0.3,10000,2,0.1,6,0.07789558104246068,678.0,0.9970667768806276,0.5587851077726975
67,100,0.3,10000,2,0.1,7,0.057650356828743234,506.0,0.9944804155436455,0.6823379923761118
68,100,0.3,10000,2,0.1,8,0.06879368816111708,595.5,0.9967430415546594,0.6101973684210527
69,100,0.3,10000,2,0.1,9,0.06791415628085756,607.5,0.9977122868882462,0.5938967136150235
70,100,0.3,30000,2,0.1,0,0.05671452590466623,486.0,0.9985371486334901,0.6741761936785474
71,100,0.3,30000,2,0.1,1,0.05298236426494633,474.5,0.9994850669412976,0.6762295081967213
72,100,0.3,30000,2,0.1,2,0.06725516362396743,587.5,0.9994669509594882,0.6127968337730871
73,100,0.3,30000,2,0.1,3,0.05935031350975531,513.5,0.9994861253854059,0.6647058823529411
74,100,0.3,30000,2,0.1,4,0.07845608049057877,679.5,0.9993589743589744,0.5377808032675289
75,100,0.3,30000,2,0.1,5,0.05981838438695129,510.0,0.9989592791187707,0.6560810810810811
76,100,0.3,30000,2,0.1,6,0.06745344698658232,578.5,0.9994834710743802,0.6197368421052631
77,100,0.3,30000,2,0.1,7,0.0538774754978328,449.5,0.9989888776541962,0.694482288828338
78,100,0.3,30000,2,0.1,8,0.07173533956239417,607.0,1.0,0.5964095744680851
79,100,0.3,30000,2,0.1,9,0.06731269345894483,599.0,0.9994553376906319,0.5906292749658002
